,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
754,above 200 EUR,12,no problems with current loans,domestic appliances,1555,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,55,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
755,no account,24,paid back all previous loans,other,1285,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,more than 7 years,none,32,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
756,below 200 EUR,6,paid back previous loans at this bank,other,1299,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,less than 1 year,real estate,74,no additional loans,own,4 or 5,unskilled (non-resident),3 and more,none,yes,Approved
757,below 200 EUR,15,paid back previous loans at this bank,furniture,1271,above 1000 EUR,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,39,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Rejected
758,above 200 EUR,24,paid back all previous loans,other,1393,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,guarantor,between 1 and 4 years,real estate,31,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
759,no account,12,paid back previous loans at this bank,other,691,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,35,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
760,above 200 EUR,15,paid back previous loans at this bank,other,5045,above 1000 EUR,more than 7 years,more than 35%,male single,none,more than 7 years,car,59,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
761,no account,18,paid back previous loans at this bank,used car,2124,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,more than 7 years,real estate,24,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
762,no account,12,paid back all previous loans,furniture,2214,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,24,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
763,above 200 EUR,21,paid back previous loans at this bank,other,12680,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,30,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
764,above 200 EUR,24,paid back previous loans at this bank,other,2463,below 100 EUR,between 4  and 7 years,less than 20%,female,none,between 4 and 7 years,life insurance,27,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
765,no balance,12,paid back all previous loans,furniture,1155,no savings account at this bank,more than 7 years,between 20 and 25%,female,guarantor,between 4 and 7 years,real estate,40,at other banks,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
766,no account,30,paid back all previous loans,used car,3108,no savings account at this bank,less than 1 year,between 25 and 35%,male divorced,none,more than 7 years,life insurance,31,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
767,above 200 EUR,10,paid back all previous loans,new car,2901,above 1000 EUR,less than 1 year,more than 35%,male single,none,more than 7 years,real estate,31,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
768,no balance,12,paid back previous loans at this bank,used car,3617,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,car,28,no additional loans,rent,4 or 5,skilled,0 to 2,yes,no,Approved
769,above 200 EUR,12,paid back previous loans at this bank,furniture,1655,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,real estate,63,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Approved
770,no account,24,paid back all previous loans,new car,2812,above 1000 EUR,more than 7 years,between 25 and 35%,male single,none,more than 7 years,real estate,26,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
771,no account,36,paid back previous loans at this bank,repair,8065,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,none,25,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Rejected
772,above 200 EUR,21,paid back previous loans at this bank,new car,3275,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,car,36,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
773,above 200 EUR,24,paid back previous loans at this bank,furniture,2223,below 100 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,52,at other banks,own,2 or 3,skilled,0 to 2,none,no,Approved
774,below 200 EUR,12,paid back previous loans at this bank,other,1480,between 100 and 500 EUR,unemployed,between 25 and 35%,male married or widowed,none,more than 7 years,none,66,at other banks,for free,4 or 5,unskilled (non-resident),0 to 2,none,no,Approved
775,no account,24,paid back all previous loans,other,1371,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,more than 7 years,real estate,25,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
776,above 200 EUR,36,paid back previous loans at this bank,other,3535,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,37,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
777,no account,18,paid back all previous loans,furniture,3509,no savings account at this bank,between 4  and 7 years,less than 20%,male single,guarantor,less than 1 year,real estate,25,no additional loans,own,1,skilled,0 to 2,none,no,Approved
778,above 200 EUR,36,paid back previous loans at this bank,new car,5711,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,38,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
779,no balance,18,paid back all previous loans,domestic appliances,3872,no savings account at this bank,unemployed,between 25 and 35%,male single,none,more than 7 years,car,67,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
780,no balance,39,paid back previous loans at this bank,furniture,4933,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,guarantor,between 1 and 4 years,real estate,25,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
781,above 200 EUR,24,paid back previous loans at this bank,other,1940,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,60,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
782,no balance,12,delay payment of previous loans,vacation,1410,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,31,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
783,no balance,12,paid back all previous loans,other,836,below 100 EUR,less than 1 year,less than 20%,male single,none,between 1 and 4 years,life insurance,23,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
784,no balance,20,paid back all previous loans,new car,6468,above 1000 EUR,unemployed,more than 35%,male divorced,none,more than 7 years,real estate,60,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
785,no balance,18,paid back all previous loans,retraining,1941,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,35,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
786,above 200 EUR,22,paid back all previous loans,furniture,2675,between 100 and 500 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,40,no additional loans,own,1,skilled,0 to 2,none,no,Approved
787,above 200 EUR,48,paid back previous loans at this bank,new car,2751,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,38,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
788,no balance,48,no problems with current loans,repair,6224,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,50,no additional loans,for free,1,skilled,0 to 2,none,no,Rejected
789,no account,40,paid back previous loans at this bank,repair,5998,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,27,at other banks,own,1,skilled,0 to 2,yes,no,Rejected
790,no balance,21,paid back all previous loans,retraining,1188,no savings account at this bank,more than 7 years,between 25 and 35%,male single,none,more than 7 years,life insurance,39,no additional loans,own,1,skilled,3 and more,none,no,Rejected
791,above 200 EUR,24,paid back all previous loans,new car,6313,above 1000 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,41,no additional loans,own,1,executive or self-employed,3 and more,yes,no,Approved
792,above 200 EUR,6,paid back previous loans at this bank,used car,1221,above 1000 EUR,between 1 and 4 years,more than 35%,female,none,between 1 and 4 years,life insurance,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
793,below 200 EUR,24,paid back all previous loans,used car,2892,no savings account at this bank,more than 7 years,between 20 and 25%,male divorced,none,more than 7 years,none,51,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
794,above 200 EUR,24,paid back all previous loans,used car,3062,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,32,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
795,above 200 EUR,9,paid back all previous loans,used car,2301,below 100 EUR,less than 1 year,between 25 and 35%,male single,none,more than 7 years,life insurance,22,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
796,no account,18,paid back all previous loans,new car,7511,above 1000 EUR,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,life insurance,51,no additional loans,for free,1,skilled,3 and more,yes,no,Rejected
797,above 200 EUR,12,paid back previous loans at this bank,used car,1258,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,more than 7 years,life insurance,22,no additional loans,rent,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
798,above 200 EUR,24,no problems with current loans,other,717,above 1000 EUR,more than 7 years,less than 20%,female,none,more than 7 years,car,54,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
799,no balance,9,paid back all previous loans,other,1549,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,35,no additional loans,own,1,unskilled (non-resident),0 to 2,none,no,Approved
800,above 200 EUR,24,paid back previous loans at this bank,repair,1597,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,54,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Approved
801,no balance,18,paid back previous loans at this bank,furniture,1795,no savings account at this bank,more than 7 years,between 20 and 25%,male single,guarantor,more than 7 years,real estate,48,at other banks,rent,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Approved
802,no account,20,paid back previous loans at this bank,used car,4272,no savings account at this bank,more than 7 years,more than 35%,male single,none,more than 7 years,life insurance,24,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
803,above 200 EUR,12,paid back previous loans at this bank,furniture,976,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,35,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
804,no balance,12,paid back all previous loans,other,7472,above 1000 EUR,unemployed,more than 35%,male single,none,between 1 and 4 years,real estate,24,no additional loans,rent,1,unskilled (non-resident),0 to 2,none,no,Approved
805,no account,36,paid back all previous loans,other,9271,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,car,24,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
806,no balance,6,paid back all previous loans,furniture,590,no savings account at this bank,less than 1 year,between 20 and 25%,female,none,between 4 and 7 years,real estate,26,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,yes,Approved
807,above 200 EUR,12,paid back previous loans at this bank,furniture,930,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,65,no additional loans,own,6 or more,skilled,0 to 2,none,no,Approved
808,no balance,42,other loans exist at other banks,new car,9283,no savings account at this bank,unemployed,more than 35%,male married or widowed,none,between 1 and 4 years,none,55,at other banks,for free,1,executive or self-employed,0 to 2,yes,no,Approved
809,no balance,15,delay payment of previous loans,other,1778,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,less than 1 year,real estate,26,no additional loans,rent,2 or 3,unskilled (non-resident),0 to 2,none,no,Rejected
810,no balance,8,paid back all previous loans,retraining,907,no savings account at this bank,less than 1 year,between 20 and 25%,female,none,between 1 and 4 years,real estate,26,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
811,no balance,6,paid back all previous loans,furniture,484,no savings account at this bank,between 4  and 7 years,between 20 and 25%,female,guarantor,between 4 and 7 years,real estate,28,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
812,no account,36,paid back previous loans at this bank,new car,9629,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,24,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
813,no account,48,paid back all previous loans,television,3051,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,54,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
814,no account,48,paid back all previous loans,other,3931,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,none,46,no additional loans,for free,1,skilled,3 and more,none,no,Rejected
815,no balance,36,no problems with current loans,other,7432,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,life insurance,54,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
816,above 200 EUR,6,paid back all previous loans,television,1338,between 100 and 500 EUR,between 1 and 4 years,more than 35%,male divorced,none,more than 7 years,real estate,62,no additional loans,own,1,skilled,0 to 2,none,no,Approved
817,above 200 EUR,6,paid back previous loans at this bank,furniture,1554,no savings account at this bank,between 4  and 7 years,more than 35%,male single,none,between 1 and 4 years,car,24,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Approved
818,no account,36,paid back all previous loans,business,15857,no savings account at this bank,unemployed,between 25 and 35%,male divorced,co-applicant,between 4 and 7 years,car,43,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Approved
819,no account,18,paid back all previous loans,furniture,1345,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 4 and 7 years,real estate,26,at other banks,own,1,skilled,0 to 2,none,no,Rejected
820,above 200 EUR,12,paid back all previous loans,other,1101,no savings account at this bank,between 1 and 4 years,between 20 and 25%,female,none,between 1 and 4 years,real estate,27,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
821,below 200 EUR,12,paid back all previous loans,furniture,3016,no savings account at this bank,between 1 and 4 years,between 20 and 25%,female,none,less than 1 year,car,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
822,no account,36,paid back all previous loans,used car,2712,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,life insurance,41,at other banks,own,1,skilled,3 and more,none,no,Rejected
823,no account,8,paid back previous loans at this bank,other,731,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,47,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
824,above 200 EUR,18,paid back previous loans at this bank,used car,3780,no savings account at this bank,less than 1 year,between 20 and 25%,male divorced,none,between 1 and 4 years,car,35,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
825,no account,21,paid back previous loans at this bank,other,1602,no savings account at this bank,more than 7 years,less than 20%,female,none,between 4 and 7 years,car,30,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
826,no account,18,paid back previous loans at this bank,other,3966,no savings account at this bank,more than 7 years,more than 35%,male single,none,more than 7 years,real estate,33,at other banks,rent,4 or 5,skilled,0 to 2,yes,no,Rejected
827,above 200 EUR,18,delay payment of previous loans,retraining,4165,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,36,at department store,own,2 or 3,skilled,3 and more,none,no,Rejected
828,no account,36,paid back all previous loans,new car,8335,above 1000 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,47,no additional loans,for free,1,skilled,0 to 2,none,no,Rejected
829,no balance,48,no problems with current loans,retraining,6681,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,38,no additional loans,for free,1,skilled,3 and more,yes,no,Approved
830,above 200 EUR,24,no problems with current loans,retraining,2375,between 100 and 500 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,44,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
831,no account,18,paid back all previous loans,other,1216,no savings account at this bank,less than 1 year,less than 20%,male single,none,between 4 and 7 years,car,23,no additional loans,rent,1,skilled,0 to 2,yes,no,Rejected
832,no account,45,delay payment of previous loans,retraining,11816,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,29,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
833,no balance,24,paid back all previous loans,furniture,5084,above 1000 EUR,more than 7 years,between 25 and 35%,male single,none,more than 7 years,car,42,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
834,below 200 EUR,15,paid back all previous loans,furniture,2327,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,between 4 and 7 years,real estate,25,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
835,no account,12,delay payment of previous loans,other,1082,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,car,48,at other banks,own,2 or 3,skilled,0 to 2,none,no,Rejected
836,above 200 EUR,12,paid back all previous loans,furniture,886,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,car,21,no additional loans,own,1,skilled,0 to 2,none,no,Approved
837,above 200 EUR,4,paid back all previous loans,used car,601,no savings account at this bank,less than 1 year,more than 35%,male single,none,between 4 and 7 years,real estate,23,no additional loans,rent,1,unskilled (permanent resident),3 and more,none,no,Approved
838,no account,24,paid back previous loans at this bank,new car,2957,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,63,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
839,above 200 EUR,24,paid back previous loans at this bank,furniture,2611,no savings account at this bank,more than 7 years,less than 20%,female,co-applicant,between 4 and 7 years,real estate,46,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
840,no account,36,paid back all previous loans,used car,5179,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,29,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
841,above 200 EUR,21,no problems with current loans,new car,2993,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,real estate,28,at department store,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
842,above 200 EUR,18,paid back all previous loans,domestic appliances,1943,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,real estate,23,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
843,above 200 EUR,24,other loans exist at other banks,retraining,1559,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,50,at other banks,own,1,skilled,0 to 2,yes,no,Approved
844,above 200 EUR,18,paid back all previous loans,used car,3422,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,47,at other banks,own,4 or 5,skilled,3 and more,yes,no,Approved
845,no balance,21,paid back all previous loans,used car,3976,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,35,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
846,above 200 EUR,18,paid back all previous loans,other,6761,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,68,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Rejected
847,above 200 EUR,24,paid back all previous loans,other,1249,no savings account at this bank,less than 1 year,less than 20%,female,none,between 1 and 4 years,real estate,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
848,no account,9,paid back all previous loans,furniture,1364,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,59,no additional loans,own,1,skilled,0 to 2,none,no,Approved
849,no account,12,paid back all previous loans,furniture,709,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,57,at department store,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
850,no account,20,paid back previous loans at this bank,other,2235,no savings account at this bank,between 1 and 4 years,less than 20%,female,guarantor,between 1 and 4 years,life insurance,33,at other banks,rent,2 or 3,skilled,0 to 2,none,yes,Rejected
851,above 200 EUR,24,paid back previous loans at this bank,new car,4042,above 1000 EUR,between 4  and 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,life insurance,43,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
852,above 200 EUR,15,paid back previous loans at this bank,furniture,1471,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,35,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Approved
853,no account,18,other loans exist at other banks,other,1442,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,none,32,no additional loans,for free,2 or 3,unskilled (permanent resident),3 and more,none,no,Rejected
854,above 200 EUR,36,no problems with current loans,other,10875,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,45,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
855,above 200 EUR,24,paid back all previous loans,other,1474,below 100 EUR,less than 1 year,less than 20%,female,none,between 4 and 7 years,real estate,33,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
856,above 200 EUR,10,paid back all previous loans,vacation,894,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,life insurance,40,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
857,above 200 EUR,15,paid back previous loans at this bank,used car,3343,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,none,28,no additional loans,for free,1,skilled,0 to 2,yes,no,Approved
858,no account,15,paid back all previous loans,other,3959,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,life insurance,29,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
859,above 200 EUR,9,paid back all previous loans,other,3577,below 100 EUR,between 1 and 4 years,more than 35%,male married or widowed,guarantor,between 1 and 4 years,real estate,26,no additional loans,rent,1,skilled,3 and more,none,yes,Approved
860,above 200 EUR,24,paid back previous loans at this bank,new car,5804,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
861,above 200 EUR,18,no problems with current loans,retraining,2169,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 1 and 4 years,car,28,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
862,no account,24,paid back all previous loans,furniture,2439,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,real estate,35,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
863,above 200 EUR,27,paid back previous loans at this bank,used car,4526,between 500 and 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,32,at department store,own,2 or 3,unskilled (permanent resident),3 and more,yes,no,Approved
864,above 200 EUR,10,paid back all previous loans,used car,2210,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,25,at other banks,rent,1,unskilled (permanent resident),0 to 2,none,no,Rejected
865,above 200 EUR,15,paid back all previous loans,used car,2221,between 100 and 500 EUR,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,20,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
866,no account,18,paid back all previous loans,furniture,2389,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,car,27,at department store,own,1,skilled,0 to 2,none,no,Approved
867,above 200 EUR,12,paid back previous loans at this bank,used car,3331,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,life insurance,42,at department store,own,1,skilled,0 to 2,none,no,Approved
868,above 200 EUR,36,paid back all previous loans,retraining,7409,above 1000 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,37,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
869,no account,12,paid back all previous loans,used car,652,no savings account at this bank,more than 7 years,less than 20%,male single,none,more than 7 years,life insurance,24,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
870,above 200 EUR,36,no problems with current loans,used car,7678,between 100 and 500 EUR,between 4  and 7 years,between 25 and 35%,male single,none,more than 7 years,car,40,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
871,below 200 EUR,6,paid back previous loans at this bank,other,1343,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,real estate,46,no additional loans,own,2 or 3,skilled,3 and more,none,yes,Approved
872,no account,24,paid back previous loans at this bank,retraining,1382,below 100 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,less than 1 year,real estate,26,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
873,above 200 EUR,15,paid back all previous loans,television,874,above 1000 EUR,less than 1 year,less than 20%,male single,none,less than 1 year,real estate,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
874,no account,12,paid back all previous loans,used car,3590,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,co-applicant,between 1 and 4 years,life insurance,29,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
875,no balance,11,paid back previous loans at this bank,other,1322,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male single,none,more than 7 years,car,40,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
876,no account,18,other loans exist at other banks,furniture,1940,no savings account at this bank,less than 1 year,between 20 and 25%,male married or widowed,co-applicant,more than 7 years,none,36,at other banks,for free,1,executive or self-employed,0 to 2,yes,no,Approved
877,above 200 EUR,36,paid back all previous loans,furniture,3595,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
878,no account,9,paid back all previous loans,other,1422,no savings account at this bank,less than 1 year,between 20 and 25%,male married or widowed,none,between 1 and 4 years,none,27,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
879,above 200 EUR,30,paid back previous loans at this bank,furniture,6742,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,life insurance,36,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
880,above 200 EUR,24,paid back all previous loans,new car,7814,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 4 and 7 years,car,38,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
881,above 200 EUR,24,paid back all previous loans,new car,9277,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male divorced,none,more than 7 years,none,48,no additional loans,for free,1,skilled,0 to 2,yes,no,Approved
882,no balance,30,paid back previous loans at this bank,other,2181,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
883,above 200 EUR,18,paid back previous loans at this bank,furniture,1098,no savings account at this bank,unemployed,less than 20%,male single,none,more than 7 years,car,65,no additional loans,own,2 or 3,unskilled (non-resident),0 to 2,none,no,Approved
884,no balance,24,paid back all previous loans,used car,4057,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male divorced,none,between 4 and 7 years,car,43,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
885,no account,12,paid back all previous loans,repair,795,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,53,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
886,no balance,24,paid back previous loans at this bank,retraining,2825,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,34,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
887,no balance,48,paid back all previous loans,retraining,15672,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,23,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
